1762377673553,primera_visita,1113779658,Valle del Cauca,Bolívar,CoV-BUENOS AIRES,Call,37.4219983,5.0,11/01/2025,Christian Frank,UESVALLE,Vivienda,NA,Victoria Rojas,9486531,3128569787,CoV-BUENOS AIRES,8,6,1,0,SI,Grifo,NO,Administrador,9,SI,Carro,89,Buena,Buena,Clara,NO,SI,"Hervir,Filtrar",Olla,Mama,85000,"Animales,Aguas Residuales,Químicos",SI,SI,"Mejor Salud,Mejor Sabor,Ahorro Económico",SI,NO,SI,"Lavado de manos,Limpieza del hogar,Cepillado de dientes,Baño diario",SI,"Vómito,Cólera,Hepatitis",Visita al Lugar presentaba fallas
1762826961894,seguimiento,1110560,Valle del Cauca,Andalucía,CoV-CAMPOALEGRE,Calle 34#09-01,37.4219983,5.0,11/11/2025,Juan Esteban,Uesvalle,315360987,11/13/2025,Grifo,Es mas Sencillo,8,1,Padre,Cosas Domesticas,Es mas limpio el agua,Clara y buena,Beuna,No,No,Si,Si,50000,36,Jabon,Jabon,No,No,Si,No,No,No,No,No,No,No,No,No,No,Ninguna
1762000000000,primera_visita,1110000000,Valle del Cauca,Tuluá,CoV-BUENOS AIRES,Calle,37.4219983,5.0,02/03/2025,María Fernanda,Uesvalle,Finca,NA,Christian Frank,2977828,3192850741,CoV-BUENOS AIRES,5,4,3,1,NO,Naciente,NO,Mama,4,SI,A pie,28,Buena,Regular,Clara,SI,NO,Hervir,Tanque,Padre,60000,"Basuras,Animales",SI,NO,"Mejor Salud,Mejor Sabor,Ahorro Económico",SI,NO,NO,Solo consumo humano,NO,"Diarrea,Vómito",
1762000000001,primera_visita,1110000001,Valle del Cauca,Andalucía,CoV-LA PLAYA,Mz,37.4219983,5.0,05/30/2025,Carlos Pérez,UESVALLE,Finca,NA,Juan Esteban,9134181,3116629531,CoV-LA PLAYA,7,2,5,2,NO,Naciente,NO,Hijo,20,SI,Moto,61,Mala,Regular,Turbia,NO,NO,Hervir,Tanque,Abuelo,55000,"Animales,Aguas Residuales,Químicos",NO,SI,"Mejor Salud,Mejor Sabor,Ahorro Económico",NO,SI,NO,"Lavado de manos,Cepillado de dientes",SI,"Vómito,Cólera,Hepatitis",Sin observaciones
1762000000002,primera_visita,1110000002,Valle del Cauca,Palmira,CoV-BUENOS AIRES,Calle,37.4219983,5.0,03/02/2025,Ana María,UESVALLE,Comercio,NA,Christian Frank,6834912,3913943054,CoV-BUENOS AIRES,8,2,1,2,SI,Naciente,NO,Abuelo,9,SI,Carro,94,Regular,Mala,Clara,NO,SI,Hervir,Olla,Hijo,30000,"Químicos,Metales Pesados",NO,SI,"Mejor Salud,Mejor Sabor,Ahorro Económico",SI,NO,SI,"Lavado de manos,Limpieza del hogar,Cepillado de dientes,Baño diario",NO,Hepatitis,Sin observaciones
1762000000003,primera_visita,1110000003,Valle del Cauca,Bolívar,CoV-EL BOSQUE,Calle,37.4219983,5.0,06/13/2025,María Fernanda,UESVALLE,Vivienda,NA,Carlos Pérez,3409506,3327862824,CoV-EL BOSQUE,6,3,5,1,SI,Naciente,SI,Hijo,5,SI,A pie,88,Mala,Mala,Turbia,SI,SI,"Hervir,Filtrar",Botellón,Mama,95000,Aguas Residuales,NO,SI,"Mejor Salud,Mejor Sabor,Ahorro Económico",NO,SI,SI,"Lavado de manos,Cepillado de dientes",SI,Hepatitis,Visita al lugar sin novedad
1762000000004,primera_visita,1110000004,Valle del Cauca,Tuluá,CoV-CAMPOALEGRE,Call,37.4219983,5.0,03/28/2025,María Fernanda,Uesvalle,Vivienda,NA,Christian Frank,8986616,3914496351,CoV-CAMPOALEGRE,4,3,1,2,SI,Grifo,SI,Mama,4,NO,Carro,102,Buena,Mala,Clara,SI,SI,Filtrar,Botellón,Abuelo,90000,Aguas Residuales,SI,SI,"Ahorro Económico,Mejor Sabor",SI,NO,SI,Solo consumo humano,NO,"Vómito,Cólera,Hepatitis",
1762000000005,primera_visita,1110000005,Valle del Cauca,Bolívar,CoV-BUENOS AIRES,Calle,37.4219983,5.0,06/22/2025,Carlos Pérez,Uesvalle,Comercio,NA,Christian Frank,9472325,3136664663,CoV-BUENOS AIRES,7,3,1,0,SI,Pozo,SI,Padre,3,SI,Bicicleta,119,Regular,Mala,Clara,NO,NO,Hervir,Botellón,Hijo,15000,"Basuras,Animales",NO,NO,"Mejor Salud,Mejor Sabor,Ahorro Económico",NO,SI,NO,"Lavado de manos,Limpieza del hogar,Cepillado de dientes,Baño diario",NO,"Vómito,Cólera,Hepatitis",Visita al lugar sin novedad
1762000000006,primera_visita,1110000006,Valle del Cauca,Palmira,CoV-BUENOS AIRES,Call,37.4219983,5.0,06/27/2025,Carlos Pérez,Uesvalle,Vivienda,NA,Laura Gómez,9069329,3568920964,CoV-BUENOS AIRES,6,0,3,2,NO,Pozo,SI,Mama,15,SI,A pie,84,Regular,Buena,Clara,NO,SI,"Hervir,Filtrar",Botellón,Hijo,70000,"Animales,Aguas Residuales,Químicos",NO,NO,"Mejor Salud,Mejor Sabor,Ahorro Económico",SI,NO,NO,"Lavado de manos,Limpieza del hogar,Cepillado de dientes,Baño diario",SI,Hepatitis,
1762000000007,primera_visita,1110000007,Valle del Cauca,Andalucía,CoV-EL BOSQUE,Cra,37.4219983,5.0,02/12/2025,Laura Gómez,UESVALLE,Finca,NA,Juan Esteban,7408466,3351310872,CoV-EL BOSQUE,8,4,4,0,SI,Grifo,NO,Mama,8,NO,Carro,28,Mala,Mala,Clara,SI,SI,Filtrar,Olla,Hijo,80000,"Basuras,Animales",SI,NO,"Ahorro Económico,Mejor Sabor",SI,SI,NO,Solo consumo humano,NO,"Diarrea,Vómito",Se observan mejoras
